project_name	run_id	duration	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	ram_total_size	tracking_mode	on_cloud	pue	model	split	recall@10	mrr@10	ndcg@10	hit@10	map@10	precision@10	gauc	itemcoverage@10	averagepopularity@10	giniindex@10	shannonentropy@10	tailpercentage@10	global_emissions_kg
'DMF_amazon_books_60core_split_2'	'0c57bc36-7dfd-4d95-95c0-e9326fb85705'	954.4895126819612	1.2327045140004816e-05	42.5	36.288507922278825	10.2771635055542	0.0112681447322169	0.016278554967278	0.0027233665941997	0.0302700662936947	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	20%	0.0088	0.036	0.0139	0.1077	0.0048	0.0127	0.7465	0.05	32.8478	0.9884	0.0026	0.0	14.378281489504982
'DMF_amazon_books_60core_split_4'	'c8a28ef3-950d-453d-9fd6-7dfd388df974'	1788.6899671554563	1.2702837842647454e-05	42.5	30.95828173644896	10.2771635055542	0.0211160824517409	0.032237096067434	0.0051014695236604	0.0584546480428352	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	40%	0.0134	0.0553	0.0212	0.1558	0.0076	0.019	0.8425	0.0643	58.8221	0.9842	0.0021	0.0	27.76595782034672
'DMF_amazon_books_60core_split_6'	'7168b63f-76aa-455d-8522-a1579c68b529'	2701.6885640621185	1.2803574192119937e-05	42.5	31.962736582998154	10.2771635055542	0.0318945777316888	0.049387640621192	0.0077095284710904	0.0889917468239713	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	60%	0.0169	0.0666	0.0264	0.1871	0.0096	0.0237	0.8794	0.0618	89.8807	0.9843	0.0021	0.0	42.271079741386366
'DMF_amazon_books_60core_split_8'	'e6260a50-e5f4-468b-9202-6be2a08e14f0'	3657.8358318805695	1.2907675651935767e-05	42.5	31.37347508390537	10.2771635055542	0.0431823862961597	0.067845442887422	0.010438380164307	0.1214662093478887	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	80%	0.02	0.0794	0.0317	0.2103	0.0121	0.0278	0.8967	0.0684	127.6511	0.9834	0.0019	0.0	57.69644944024713
'DMF_amazon_books_60core_split_10'	'de150c9b-e3f2-4709-a6d9-fa5aecf1a23f'	4656.80522942543	1.2961981857489635e-05	42.5	28.53636558774004	10.2771635055542	0.0549754800094498	0.0870286643450979	0.0132855760422478	0.1552897203967957	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	100%	0.0212	0.0854	0.0347	0.2235	0.0134	0.0308	0.9054	0.0713	146.3374	0.9819	0.0018	0.0	73.76261718847796
'LightGCN_amazon_books_60core_split_2'	'c6778f48-2575-4ee8-be81-061892b3d7c8'	980.293936252594	1.2135409288097491e-05	42.5	27.250674430194724	10.2771635055542	0.0115728217482566	0.0162348613212119	0.0027974286589643	0.030605111728433	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	20%	0.0173	0.0699	0.0272	0.1845	0.0102	0.0234	0.8732	0.4108	25.5499	0.8959	0.0004	0.008	14.537428071005673
'LightGCN_amazon_books_60core_split_4'	'356945fb-3193-4950-b21c-6cb7275b1d98'	2342.866766691208	1.2760958719328194e-05	42.5	31.88842383865819	10.2771635055542	0.0276584990868965	0.0425746307263439	0.0066824149862007	0.0769155447994412	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	40%	0.0278	0.0986	0.0402	0.2588	0.0156	0.0342	0.9185	0.3714	49.0841	0.9023	0.0004	0.0036	36.53488377973456
'LightGCN_amazon_books_60core_split_6'	'604ee666-b231-4227-80f2-14cfe4543a9b'	4368.084461212158	1.2970278144223985e-05	42.5	34.40444773186502	10.2771635055542	0.0515672338720825	0.0817270853816158	0.0124607075261597	0.1457550267798582	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	60%	0.0368	0.1231	0.052	0.3091	0.0212	0.0433	0.9354	0.3924	67.4855	0.8878	0.0004	0.0027	69.23363772043263
'LightGCN_amazon_books_60core_split_8'	'61694363-f123-4bb6-ba44-df33dda33f6a'	7009.424191236496	1.3073203840942567e-05	42.5	33.70589809836718	10.2771635055542	0.082748981926673	0.133002269179508	0.0199965229203708	0.2357477740265517	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	80%	0.0439	0.1427	0.0623	0.3442	0.0265	0.0516	0.945	0.4121	85.5025	0.8762	0.0004	0.002	111.98019266261204
'LightGCN_amazon_books_60core_split_10'	'47021735-30f3-4fe9-8723-b62022d910da'	10525.140005111694	1.3107117566305082e-05	42.5	30.613709596042824	10.2771635055542	0.1242542514393727	0.200627524946336	0.0300282766853328	0.3549100530710412	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	100%	0.0515	0.1657	0.0745	0.3786	0.0335	0.0607	0.9505	0.4354	100.8482	0.8629	0.0004	0.0015	168.58227520874456
'CFKG_amazon_books_60core_split_2'	'd0a486c0-3a10-4050-a5cf-e77e68da8ad3'	684.8343434333801	9.07693085053504e-06	42.5	33.33704914387323	10.2771635055542	0.0080846487321787	0.0059557133756777	0.0019518220831596	0.0159921841910161	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CFKG	20%	0.0097	0.0423	0.0159	0.1203	0.0057	0.0142	0.8139	0.2922	35.6905	0.9413	0.0005	0.005	7.596287490732647
'CFKG_amazon_books_60core_split_4'	'9d7adc90-7fda-41e7-9b39-8876ef29c356'	1001.4409182071686	9.193077904367392e-06	42.5	29.997631121351297	10.2771635055542	0.0118224554893043	0.0090045730369863	0.0028577592486621	0.0236847877749528	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CFKG	40%	0.0181	0.0673	0.0268	0.187	0.0099	0.0233	0.8824	0.3835	51.2064	0.8945	0.0004	0.0023	11.250274193102578
'CFKG_amazon_books_60core_split_6'	'bcfcf6dc-0c54-4a8c-984d-b65248932536'	1340.5838198661804	9.239745096170276e-06	42.5	32.257519848190846	10.2771635055542	0.0158259529463118	0.012215353938942	0.0038254001952698	0.0318667070805237	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CFKG	60%	0.0248	0.0845	0.0347	0.2309	0.0133	0.0296	0.91	0.443	57.7624	0.8564	0.0004	0.0019	15.136685863248756
'CFKG_amazon_books_60core_split_8'	'fcf58c6c-1229-41fb-b292-90a33ec7ea07'	1721.971148967743	9.252076182814172e-06	42.5	33.70699888956592	10.2771635055542	0.0203284202938278	0.0157472581533522	0.0049115257731677	0.0409872042203477	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CFKG	80%	0.0299	0.0976	0.0416	0.2607	0.0166	0.0355	0.9242	0.481	67.6211	0.8317	0.0004	0.0009	19.46892200466516
'CFKG_amazon_books_60core_split_10'	'e65f44e9-ae5f-41ce-9524-ec8a67b8d779'	2038.5795373916624	9.282107391061073e-06	42.5	29.61943681121696	10.2771635055542	0.0240662292942404	0.0187997980953822	0.0058147465484816	0.0486807739381042	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CFKG	100%	0.0343	0.1122	0.0485	0.2839	0.0202	0.0405	0.9342	0.5249	74.8762	0.802	0.0003	0.0011	23.12336762059949
'CKE_amazon_books_60core_split_2'	'9ffc101e-7c0b-4f47-92fd-43e974ab3dfe'	1114.2019984722135	9.2825894436007e-06	42.5	30.03624465020068	10.2771635055542	0.0131535337752766	0.0102784332227399	0.0031762822753522	0.0266082492733687	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	CKE	20%	0.009	0.0396	0.0147	0.1104	0.0053	0.0129	0.8053	0.4276	20.4589	0.8556	0.0004	0.001	12.638918404850132
