project_name	run_id	duration	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	ram_total_size	tracking_mode	on_cloud	pue	model	split	recall@10	mrr@10	ndcg@10	hit@10	map@10	precision@10	gauc	itemcoverage@10	averagepopularity@10	giniindex@10	shannonentropy@10	tailpercentage@10	global_emissions_kg
'BPR_movielens_split_2'	'35aa3430-70e5-44e5-8b43-84778afaaeb3'	144.7762486934662	8.453594252314669e-06	42.5	22.04101287672571	10.2771635055542	0.0017091323652201	0.001026570821256	0.0004129290917904	0.0031486322782665	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	BPR	20%	0.0422	0.2086	0.0907	0.5376	0.0352	0.0846	0.8087	0.7222	193.5481	0.7945	0.003	0.001	1.4956003321765874
'BPR_movielens_split_4'	'36d19c9c-5f5c-4da1-b51c-09f106c5df2b'	214.01086020469663	8.51359636867432e-06	42.5	28.752463676674505	10.2771635055542	0.0025264989788333	0.0015502359624095	0.0006106659012934	0.0046874008425363	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	BPR	40%	0.0629	0.2691	0.1254	0.659	0.0518	0.1162	0.8478	0.7313	350.1136	0.7561	0.003	0.0001	2.2265154002047423
'BPR_movielens_split_6'	'dd46ff05-4953-49d2-a46d-15fb1821cbd9'	288.7172095775604	8.541877074906623e-06	42.5	26.14226582103366	10.2771635055542	0.0034084255187047	0.0021125455789237	0.0008237014628974	0.0063446725605259	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	BPR	60%	0.0798	0.3201	0.1581	0.7331	0.069	0.1463	0.8716	0.7585	504.7483	0.738	0.0029	0.0001	3.0137194662498024
'BPR_movielens_split_8'	'06402f57-2894-4dba-8d2f-7b3b30d76ed7'	362.3558745384216	8.562618055364668e-06	42.5	26.94342929830045	10.2771635055542	0.0042777786965171	0.0026704093585476	0.001034057865435	0.0079822459204998	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	BPR	80%	0.1023	0.3975	0.2123	0.8101	0.1032	0.1958	0.8903	0.7766	669.4997	0.7323	0.0028	0.0001	3.791566812237405
'BPR_movielens_split_10'	'b8321fdc-2a08-466c-a86e-76b52d73f980'	434.4265701770783	8.566750099553951e-06	42.5	26.18554971667163	10.2771635055542	0.0051286036491394	0.0032064267318054	0.0012394607801846	0.0095744911611295	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	BPR	100%	0.1299	0.5115	0.3045	0.8567	0.1812	0.2764	0.908	0.7808	860.2878	0.741	0.0028	0.0001	4.547883301536512
'ItemKNN_movielens_split_2'	'117138df-c6fa-4287-a755-576fd77f8372'	68.11385893821716	8.24943085136187e-06	42.5	23.136223660767637	10.2771635055542	0.0008039956518345	0.000447376191234	0.0001942100405601	0.0014455818836286	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	ItemKNN	20%	0.0432	0.2159	0.098	0.5494	0.0389	0.0937	0.75	0.8515	210.2989	0.8208	0.0024	0.1044	0.686651394723585
'ItemKNN_movielens_split_4'	'92dfa0eb-11f6-4264-a015-f76debedb7e2'	73.12748980522156	8.226438337802638e-06	42.5	23.414405082859457	10.2771635055542	0.0008631232404046	0.0004761362142424	0.0002084011843023	0.0015476606389494	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	ItemKNN	40%	0.0783	0.3351	0.1636	0.7321	0.0727	0.1502	0.8576	0.5038	495.6496	0.9091	0.0037	0.003	0.7351388035009649
'ItemKNN_movielens_split_6'	'4485264b-df01-4727-9277-23ec23f738af'	78.10967803001404	8.213851211052034e-06	42.5	25.98983526541225	10.2771635055542	0.0009220416628652	0.0005057934601904	0.000222738512999	0.0016505736360546	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	ItemKNN	60%	0.1003	0.3962	0.2093	0.807	0.1007	0.1925	0.8837	0.3963	747.3111	0.9169	0.0046	0.0004	0.784022477125935
'ItemKNN_movielens_split_8'	'2842a0ca-f1a4-43bf-9b4c-efde15d9e236'	81.2987973690033	8.204109182822342e-06	42.5	25.12324199892797	10.2771635055542	0.0009597103532817	0.0005249495866261	0.0002312669399317	0.0017159268798397	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	ItemKNN	80%	0.1217	0.4835	0.2692	0.8501	0.1454	0.2428	0.8989	0.377	988.5449	0.9174	0.0048	0.0001	0.8150652679238575
'ItemKNN_movielens_split_10'	'aa2b759f-e2e1-42e9-840d-505442eb7878'	84.58893513679504	8.195663457001628e-06	42.5	27.65432180377333	10.2771635055542	0.0009983706947829	0.0005440354352281	0.0002411258419552	0.0017835319719664	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	ItemKNN	100%	0.1492	0.5933	0.3673	0.8794	0.2416	0.3255	0.9114	0.3846	1200.9414	0.9126	0.0048	0.0	0.84717768668404
